radius,depth,density,Vpv,Vph,Vsv,Vsh,eta,Qµ,Qk
6371.0,0.0,1.02,1.45,1.45,0.0,0.0,1.0,0.0,57823.0
6370.0,1.0,1.02,1.45,1.45,0.0,0.0,1.0,0.0,57823.0
6369.0,2.0,1.02,1.45,1.45,0.0,0.0,1.0,0.0,57823.0
6368.0,3.0,1.02,1.45,1.45,0.0,0.0,1.0,0.0,57823.0
6368.0,3.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6367.0,4.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6366.0,5.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6365.0,6.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6364.0,7.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6363.0,8.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6362.0,9.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6361.0,10.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6360.0,11.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6359.0,12.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6358.0,13.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6357.0,14.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6356.0,15.0,2.6,5.8,5.8,3.2,3.2,1.0,600.0,57823.0
6356.0,15.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6355.0,16.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6354.0,17.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6353.0,18.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6352.0,19.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6351.0,20.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6350.0,21.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6349.0,22.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6348.0,23.0,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6346.6,24.4,2.9,6.8,6.8,3.9,3.9,1.0,600.0,57823.0
6346.6,24.4,3.38075,8.02206,8.19032,4.39602,4.6118,0.90039,600.0,57823.0
6346.0,25.0,3.38068,8.02138,8.18988,4.39616,4.61126,0.90062,600.0,57823.0
6345.0,26.0,3.38057,8.02024,8.18916,4.39639,4.61037,0.90101,600.0,57823.0
6344.0,27.0,3.38047,8.01911,8.18843,4.39662,4.60947,0.9014,600.0,57823.0
6343.0,28.0,3.38036,8.01798,8.18771,4.39685,4.60857,0.90179,600.0,57823.0
6342.0,29.0,3.38025,8.01684,8.18698,4.39708,4.60767,0.90218,600.0,57823.0
6341.0,30.0,3.38014,8.01571,8.18626,4.39731,4.60678,0.90257,600.0,57823.0
6340.0,31.0,3.38003,8.01458,8.18553,4.39754,4.60588,0.90296,600.0,57823.0
6339.0,32.0,3.37992,8.01345,8.18481,4.39777,4.60498,0.90335,600.0,57823.0
6338.0,33.0,3.37981,8.01231,8.18408,4.398,4.60408,0.90373,600.0,57823.0
6337.0,34.0,3.3797,8.01118,8.18336,4.39823,4.60319,0.90412,600.0,57823.0
6336.0,35.0,3.3796,8.01005,8.18263,4.39846,4.60229,0.90451,600.0,57823.0
6331.0,40.0,3.37905,8.00438,8.17901,4.39962,4.5978,0.90646,600.0,57823.0
6326.0,45.0,3.37851,7.99872,8.17539,4.40077,4.59332,0.9084,600.0,57823.0
6321.0,50.0,3.37797,7.99305,8.17176,4.40192,4.58883,0.91035,600.0,57823.0
6311.0,60.0,3.37688,7.98172,8.16452,4.40422,4.57985,0.91424,600.0,57823.0
6301.0,70.0,3.37579,7.97039,8.15727,4.40653,4.57088,0.91812,600.0,57823.0
6291.0,80.0,3.37471,7.95906,8.15002,4.40883,4.5619,0.92201,600.0,57823.0
6291.0,80.0,3.37471,7.95906,8.15002,4.40883,4.5619,0.92201,80.0,57823.0
6281.0,90.0,3.37362,7.94773,8.14278,4.41113,4.55293,0.9259,80.0,57823.0
6271.0,100.0,3.37253,7.93641,8.13553,4.41344,4.54396,0.92979,80.0,57823.0
6261.0,110.0,3.37145,7.92508,8.12828,4.41574,4.53498,0.93368,80.0,57823.0
6251.0,120.0,3.37036,7.91375,8.12103,4.41805,4.52601,0.93757,80.0,57823.0
6241.0,130.0,3.36927,7.90242,8.11379,4.42035,4.51703,0.94146,80.0,57823.0
6231.0,140.0,3.36818,7.89109,8.10654,4.42265,4.50806,0.94535,80.0,57823.0
6221.0,150.0,3.3671,7.87976,8.09929,4.42496,4.49908,0.94924,80.0,57823.0
6211.0,160.0,3.36601,7.86843,8.09204,4.42726,4.49011,0.95313,80.0,57823.0
6201.0,170.0,3.36492,7.8571,8.0848,4.42957,4.48113,0.95702,80.0,57823.0
6191.0,180.0,3.36384,7.84577,8.07755,4.43187,4.47216,0.96091,80.0,57823.0
6181.0,190.0,3.36275,7.83444,8.0703,4.43417,4.46319,0.96479,80.0,57823.0
6171.0,200.0,3.36166,7.82311,8.06306,4.43648,4.45421,0.96868,80.0,57823.0
6161.0,210.0,3.36058,7.81178,8.05581,4.43878,4.44524,0.97257,80.0,57823.0
6151.0,220.0,3.35949,7.80045,8.04856,4.44109,4.43626,0.97646,80.0,57823.0
6151.0,220.0,3.43577,8.55895,8.55895,4.6439,4.6439,1.0,143.0,57823.0
6141.0,230.0,3.44175,8.57819,8.57819,4.6509,4.6509,1.0,143.0,57823.0
6131.0,240.0,3.44772,8.59743,8.59743,4.6579,4.6579,1.0,143.0,57823.0
6121.0,250.0,3.45369,8.61666,8.61666,4.6649,4.6649,1.0,143.0,57823.0
6111.0,260.0,3.45966,8.6359,8.6359,4.6719,4.6719,1.0,143.0,57823.0
6101.0,270.0,3.46563,8.65514,8.65514,4.6789,4.6789,1.0,143.0,57823.0
6091.0,280.0,3.4716,8.67438,8.67438,4.6859,4.6859,1.0,143.0,57823.0
6081.0,290.0,3.47758,8.69362,8.69362,4.6929,4.6929,1.0,143.0,57823.0
6071.0,300.0,3.48355,8.71286,8.71286,4.6999,4.6999,1.0,143.0,57823.0
6061.0,310.0,3.48952,8.7321,8.7321,4.7069,4.7069,1.0,143.0,57823.0
6051.0,320.0,3.49549,8.75133,8.75133,4.7139,4.7139,1.0,143.0,57823.0
6041.0,330.0,3.50146,8.77057,8.77057,4.7209,4.7209,1.0,143.0,57823.0
6031.0,340.0,3.50743,8.78981,8.78981,4.7279,4.7279,1.0,143.0,57823.0
6021.0,350.0,3.51341,8.80905,8.80905,4.7349,4.7349,1.0,143.0,57823.0
6011.0,360.0,3.51938,8.82829,8.82829,4.7419,4.7419,1.0,143.0,57823.0
6001.0,370.0,3.52535,8.84753,8.84753,4.7489,4.7489,1.0,143.0,57823.0
5991.0,380.0,3.53132,8.86677,8.86677,4.7559,4.7559,1.0,143.0,57823.0
5981.0,390.0,3.53729,8.886,8.886,4.7629,4.7629,1.0,143.0,57823.0
5971.0,400.0,3.54326,8.90524,8.90524,4.7699,4.7699,1.0,143.0,57823.0
5971.0,400.0,3.72375,9.13392,9.13392,4.93249,4.93249,1.0,143.0,57823.0
5961.0,410.0,3.73635,9.18511,9.18511,4.96166,4.96166,1.0,143.0,57823.0
5951.0,420.0,3.74895,9.23631,9.23631,4.99083,4.99083,1.0,143.0,57823.0
5941.0,430.0,3.76156,9.2875,9.2875,5.02,5.02,1.0,143.0,57823.0
5931.0,440.0,3.77416,9.3387,9.3387,5.04918,5.04918,1.0,143.0,57823.0
